,,,,,pIC50
c1cc(ccc1n2c3c(ccc4c3cn[nH]4)c(n2)C(=O)N)S(=O)(=O)N,IC50,=,0.3,nM,9.52287874528034
Cc1ccc(c(c1F)C(=O)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)N)C)F,IC50,=,0.3,nM,9.52287874528034
c1cc(cc(c1)N(=O)=O)Nc2nccc(n2)c3cnn4c3cccn4,IC50,=,0.3,nM,9.52287874528034
c1cc(ccc1c2cc(n[nH]2)Nc3ccc(cc3)S(=O)(=O)N)N(=O)=O,IC50,=,0.33,nM,9.48148606012211
c1cc(ccc1c2cc([nH]n2)Nc3ccc(cc3)S(=O)(=O)N)N,IC50,=,0.34,nM,9.46852108295774
C[C@@]12[C@@H]([C@@H](CC(O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC,IC50,=,0.36,nM,9.44369749923271
Cc1ccsc1C(=O)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)N)N,IC50,=,0.4,nM,9.39794000867204
Cc1ncc(n1C(C)C)c2c(cnc(n2)Nc3ccc(cc3)N4CC(C4)NC(=O)C)F,IC50,=,0.5,nM,9.30102999566398
c1cc(c(c(c1)F)NC(=S)n2c(nc(n2)Nc3ccc(cc3)S(=O)(=O)N)N)F,IC50,=,0.5,nM,9.30102999566398
c1cc(ccc1/N=C/c2c3c(ccc4c3scn4)[nH]c2O)S(=O)(=O)NCCOCCO,IC50,=,0.54,nM,9.26760624017703
CCC(CO)Nc1nc(c2c(n1)n(cn2)C(C)C)NCc3ccccc3,IC50,=,0.6,nM,9.22184874961636
CC(C)(C)c1cnc(o1)CSc2cnc(s2)Nc3ccncc3,IC50,=,1,nM,9
CS(=O)(=O)c1ccc(cc1)n2c3c(ccc4c3cn[nH]4)c(n2)C(=O)N,IC50,=,1,nM,9
CN(CCOCCOCCOCCOC)S(=O)(=O)c1ccc(cc1)/N=C/c2c3c(ccc4c3scn4)[nH]c2O,IC50,=,1,nM,9
Cc1ncc(n1C(C)C)c2ccnc(n2)Nc3ccc(cc3)S(=O)(=O)NCCOC,IC50,=,1,nM,9
