SMILES,,,,,ddG kcal/mol
CN(C)c1ccc(cc1)P(=O)(C)O,Ki,=,4100000,nM,-8.99886004121965
CS(=O)(=O)c1ccc(cc1)C(=N)N,Ki,=,1800000,nM,-8.51234865871404
c1cc(cnc1)C(CC(=O)N2CCC[C@H]2C(=O)NCC3CCC(CC3)N)c4ccc5c(c4)OCO5,Ki,=,1000000,nM,-8.16496673975689
c1ccc(cc1)C(CC(=O)N2CCC[C@H]2C(=O)NCC3CCC(CC3)N)c4ccccc4,Ki,=,980000,nM,-8.15302693973223
c1cc(ccc1CCN)C(=N)N,Ki,=,750000,nM,-7.99494663493788
c1cc(ccc1CCO)C(=N)N,Ki,=,607000,nM,-7.86992388539461
c1cc2c(cc1C(=N)N)cc(o2)CCc3cc4cc(ccc4o3)C(=N)N,Ki,=,570000,nM,-7.83275445912814
c1cc(c(c(c1)Cl)O)C(=O)Nc2ccc(cc2)NC(=N)N,Ki,=,470000,nM,-7.71874839244857
c1cc(cc(c1)S(=O)(=O)N[C@@H](Cc2ccc(cc2)CN)C(=O)N3CCC(CC3)CCN)NC(=O)CCN,Ki,=,430000,nM,-7.66618042821282
c1cc(ccc1CN)C(=N)N,Ki,=,429000,nM,-7.6648044089649
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)NCc3ccc(cc3)N,Ki,=,420000,nM,-7.6522739042434
c1ccc(cc1)C(CC(=O)N2CCC[C@H]2C(=O)NCC3CCC(CC3)N)c4ccncc4,Ki,=,400000,nM,-7.62343891721926
Cc1ccc(c(=O)n1CC(=O)N[C@H]2CCc3c(sc(n3)N)C2)NS(=O)(=O)Cc4ccccc4,Ki,=,370600,nM,-7.57832124836454
c1ccc(cc1)C(CC(=O)N2CCC[C@H]2C(=O)NCC3CCC(CC3)N)c4ccccn4,Ki,=,370000,nM,-7.57736364621066
Cc1cccc(c1O)C(=O)Nc2ccc(cc2)NC(=N)N,Ki,=,350000,nM,-7.54452186417817
Cc1ccc(c(=O)n1CC(=O)NCC2CCc3c(c[nH]n3)C2)NS(=O)(=O)Cc4ccc(cc4)F,Ki,=,314000,nM,-7.48037462455022
c1ccc(cc1)Cc2c3ccccc3[nH]c2c4cc(cc(c4O)Br)CCC(=O)O,Ki,=,300000,nM,-7.45341881240026
